state,fit_range,noise_scale,beta
rest,1-30,0.8,0.8261772062178446
rest,1-30,1.0,0.8250091937799323
rest,1-30,1.2,0.8103384470633388
rest,2-40,0.8,0.7207481444865586
rest,2-40,1.0,0.7132181470857087
rest,2-40,1.2,0.7018357152596226
rest,3-45,0.8,0.7915137379133453
rest,3-45,1.0,0.7441583125546125
rest,3-45,1.2,0.7829014537417436
task,1-30,0.8,1.028590775181169
task,1-30,1.0,1.027796548127326
task,1-30,1.2,1.0291085851986765
task,2-40,0.8,0.8998918926938839
task,2-40,1.0,0.9410411509469053
task,2-40,1.2,0.9236836243063709
task,3-45,0.8,0.9896498078774959
task,3-45,1.0,0.9766073702998437
task,3-45,1.2,0.973665508842491
fatigue,1-30,0.8,0.639237450272368
fatigue,1-30,1.0,0.6258558151053161
fatigue,1-30,1.2,0.645860821865224
fatigue,2-40,0.8,0.6851068202841423
fatigue,2-40,1.0,0.68996420225452
fatigue,2-40,1.2,0.707157811051129
fatigue,3-45,0.8,0.8387782371466622
fatigue,3-45,1.0,0.8080926052327465
fatigue,3-45,1.2,0.8088964478577544
